"user_id"	"event_time"	"meta_data"
"CAESEK0wxtQmzmddoXM8iibFctU"	"1544686071398118"	"dc_pre=CLuLxoSknN8CFQcgYAod6-ULfw;u1=4513525805;u2=2420374692;u4=138248789574;u5=728x90;u6=j;u7=fd77432391915df6d0287ee409cf755e;~oref=https://www.testsite01.com.au/"
"CAESEFcfOc9vBzO1HVkDvNNX5EM"	"1544652618703095"	"dc_pre=CJWw6rSnm98CFQwfaAodqncJOQ;u1=4617842802;u2=2384539156;u4=138249792993;u5=728x90;u6=j;u7=3b61b401784693801caa1b8897d631aa;~oref=https://www.testsite02.com.au/"
"CAESEFdAHGqpQlE7Y4DA8gwtxek"	"1544624345011901"	"dc_pre=CKTBiou-mt8CFdVKKwod7VENug;u1=4537116216;u2=2406046948;u4=138251824476;u5=300x250;u6=j;~oref=https://www.testsite02.com.au/"
"CAESEMHQezDwrwRqFrnY1IkgHVQ"	"1544673679763090"	"dc_pre=CP_U2u_1m98CFcZNKwodUBUMuA;u1=4537116216;u2=2406046948;u4=138254010736;u5=970x250;u6=j;u7=09dda78594e3a9d4d792cfc8dbcd1826;~oref=https://www.testsite01.com.au/"
"CAESELOPS1ADbR7nrz3Lr4dxDlU"	"1544677465108767"	"dc_pre=CJGU2fyDnN8CFc1MKwod2CMKPw;u1=4662042461;u2=2445793873;u4=138254075235;u5=970x250;u6=j;~oref=https://www.testsite02.com.au/national/hsc-2018-live-nsw-high-school-students-receive-their-results-20181210-p50ld4.html"
"CAESEC1Qhx4nLrPvPPd5g-8Dcok"	"1544683366998426"	"u1=4537116216;u2=2406046948;u4=138254010892;u5=970x250;u6=j;u7=e3ff515bea5467c787c3fee2d4b0d14c;~oref=https://www.testsite03.com.au/"
"CAESEEveUZrzhIskkUIT4UkfIp0"	"1544696693392850"	"dc_pre=CNeTts3LnN8CFUelaAodGNACQw;u1=4617842802;u2=2384539156;u4=138249793227;u5=728x90;u6=j;u7=8d66784606525b0b6a57aaf6f416b64e;~oref=https://www.testsite03.com.au/business/companies/free-delivery-cheaper-groceries-coles-trials-10-a-month-loyalty-club-20180725-p4ztg1.html"
"0"	"1544695778795783"	"u1=http://m.facebook.com;u2=article;u3=National;u5=Article;dc_rdid=*;_dc_1=3;~oref=https://www.testsite01.com.au/education/the-top-schools-in-the-2018-hsc-revealed-20181213-p50lxn.html"
"CAESEMtpJc74sxRxg9mQGMJmjsc"	"1544661500321364"	"u1=4513525805;u2=2426015707;u4=138249801647;u5=320x50;u6=j;~oref=https://www.testsite03.com.au/"
"CAESEBFeRp_vQOcUim6TuwExNcI"	"1544680901545453"	"u1=4513525805;u2=2420374692;u4=138248789577;u5=320x50;u6=j;~oref=https://www.testsite03.com.au/"
"CAESED1GNO2YQAXJfhKLqmVamQQ"	"1544693172412162"	"u1=4513525805;u2=2444571013;u4=138253769811;u5=320x50;u6=j;~oref=https://www.testsite03.com.au/"
"0"	"1544625587327165"	"dc_pre=COPgytrCmt8CFYINaAodkXEJKQ;u1=4662932081;u2=2445812797;u4=138254310937;u5=970x250;u6=j;_dc_1=3;~oref=https://www.testsite03.com.au/"
"CAESEMFGVpCvcSobR-1vEN2DghE"	"1544672723150156"	"dc_pre=CNzJx6fym98CFUfHjgodNa4NCA;u1=4537116216;u2=2406046948;u4=138254010892;u5=970x250;u6=j;~oref=https://www.testsite03.com.au/"
"CAESEMgEJp5b5sER9BBi30J3rnA"	"1544661335205922"	"u1=4537116216;u2=2406046948;u4=138254010892;u5=970x250;u6=j;~oref=https://www.testsite02.com.au/"
"CAESEHHRlr5aei5rKrVxsaFVFwU"	"1544690794432340"	"dc_pre=CKaIz9C1nN8CFZpKKwodFWsH_Q;u1=4662932081;u2=2445812797;u4=138254312302;u5=728x90;u6=j;u7=94203db672d76d0efadab39da8ad98d7;~oref=https://www.testsite02.com.au/"
"CAESEGV6Lm03WKixeI7EYB09c0Y"	"1544678038282462"	"dc_pre=CNzmgY6GnN8CFdNNKwodhx0NJQ;u1=4617842802;u2=2384539156;u4=138249829781;u5=728x90;u6=j;~oref=https://www.testsite01.com.au/national/hsc-2018-here-s-how-your-school-ranked-20181212-p50lq7.html"
"0"	"1544673806486007"	"u1=https://www.google.com.au/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&ved=2ahUKEwjz3aLr9ZvfAhVUcCsKHfSzBAsQFjAAegQIAhAC&url=https://www.testsite02.com.au/&usg=AOvVaw0wR018ypdaeTxwmkNTw9qM;u2=article;u3=Homepage;u5=Homepage;dc_rdid=*"
"CAESECFX6-eRqr8xsb-Dw4DFg-Y"	"1544701440442042"	"u1=4617842802;u2=2384539156;u4=138249792993;u5=728x90;u6=j;~oref=https://www.testsite02.com.au/"
